Tracking No,PMB,consignee,AWB,Shipper,Store,Original Barcode,Description,status,status Date,Package Type,zone,career,weight,volumetricweight,express,aging,agingdollar,Original Barcode,Status,User,Date
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 07:43"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Nov 26,2020 04:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 15,2021 02:30"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 19,2021 04:02"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No Tracking,Loaded on AirCraft,admin 1,"Nov 26,2020 04:17"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,new user,"Nov 19,2020 08:43"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 08,2021 00:31"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 14,2020 02:50"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Feb 04,2021 01:30"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Mar 01,2021 07:38"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Mar 01,2021 07:54"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 03,2020 04:37"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 18,2021 02:27"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 06,2021 02:05"
,,,,,,,,Received in FLL,,,,,,,,,,9000-100068-47,Received in FLL,new user,"Sep 30,2020 10:57"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:13"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 08,2021 06:09"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 27,2021 06:44"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,100068,Loaded on AirCraft,admin 1,"May 28,2020 15:30"
,,,,,,,,No Invoice Present,,,,,,,,,,420112359241990105856901520828,No Invoice Present,admin 1,"Sep 29,2020 09:27"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Nov 26,2020 04:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 15,2021 02:36"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Nov 26,2020 04:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 22,2021 05:30"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Nov 26,2020 04:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 08:24"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 04:28"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 06:04"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 07:50"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Mar 01,2021 08:04"
,,,,,,,,In Warehouse Nassuau,,,,,,,,,,,In Warehouse Nassuau,new user,"Nov 18,2020 07:50"
,,,,,,,,Assigned to cube,,,,,,,,,,No tracking,Assigned to cube,admin 1,"Dec 03,2020 02:53"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 19,2021 03:32"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 14,2020 02:50"
,,,,,,,,Removed from Flight FLL,,,,,,,,,,new---dsss,Removed from Flight FLL,admin 1,"Dec 02,2020 06:45"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 08:25"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:27"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 06,2021 03:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Feb 17,2021 04:15"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 01:06"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 07:08"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No tracking,Loaded on AirCraft,admin 1,"Jan 13,2021 06:23"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Feb 04,2021 00:41"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 08:00"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 07:59"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:13"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:15"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Mar 01,2021 07:42"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 06,2021 03:20"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,caa,Loaded on AirCraft,admin 1,"Nov 06,2020 09:39"
,,,,,,,,Recieved in NAS,,,,,,,,,,No Tracking,Recieved in NAS,admin 1,"Jun 29,2020 06:20"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 08:01"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 05:39"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,abcddd---fff,Loaded on AirCraft,admin 1,"Nov 06,2020 09:39"
,,,,,,,,Received in FLL,,,,,,,,,,ch--ll33sss,Received in FLL,new user,"Oct 05,2020 03:29"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 06,2021 01:20"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 23,2020 03:36"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 08:31"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:15"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Jan 06,2021 05:26"
,,,,,,,,Delivered to Store,,,,,,,,,,9000-100031-24,Delivered to Store,admin 1,"Nov 17,2020 01:49"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 19,2021 03:33"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 15,2021 02:38"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 28,2021 02:36"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No tracking,Loaded on AirCraft,new user,"Nov 06,2020 09:36"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 08,2021 00:31"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Nov 26,2020 04:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 08,2021 00:31"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 12,2021 03:14"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 19,2021 03:37"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 04:29"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 06,2021 01:54"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Mar 01,2021 07:46"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 19,2021 04:02"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 23,2020 03:36"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:27"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,100068,Loaded on AirCraft,admin 1,"May 28,2020 15:30"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 01:17"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 13,2021 03:30"
,,,,,,,,No Invoice Present,,,,,,,,,,0789456123,No Invoice Present,admin 1,"Dec 24,2020 09:31"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 13,2021 03:20"
,,,,,,,,Delivered to Store,,,,,,,,,,0789456123,Delivered to Store,admin 1,"Aug 20,2020 11:17"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 05,2021 05:23"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 07:51"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 05:36"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 07:56"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,9000-100068-47,Loaded on AirCraft,admin 1,"Jun 29,2020 06:16"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No Tracking,Loaded on AirCraft,admin 1,"Nov 26,2020 04:17"
,,,,,,,,In Warehouse Nassuau,,,,,,,,,,No tracking,In Warehouse Nassuau,admin 1,"Nov 24,2020 06:18"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,0789456123,Loaded on AirCraft,admin 1,"Aug 13,2020 06:37"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 03:01"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 01:27"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 07:47"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,hj,Loaded on AirCraft,admin 1,"Nov 26,2020 04:17"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 07:52"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,new user,"Nov 19,2020 07:54"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,,Loaded on AirCraft,admin 1,"Nov 17,2020 09:13"
,,,,,,,,Removed from Flight FLL,,,,,,,,,,No tracking,Removed from Flight FLL,admin 1,"Dec 01,2020 07:09"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 07:14"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 02:24"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 08:07"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,new user,"Nov 20,2020 06:36"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 01:25"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,100068,Loaded on AirCraft,admin 1,"Nov 26,2020 04:15"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,100068,Loaded on AirCraft,admin 1,"Nov 26,2020 04:17"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 03,2020 05:29"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,new user,"Nov 19,2020 06:04"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 06,2021 01:32"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 07:00"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 04:26"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No Tracking,Loaded on AirCraft,admin 1,"Nov 26,2020 04:17"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No tracking,Loaded on AirCraft,admin 1,"Jan 13,2021 06:23"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 08:13"
,,,,,,,,No Invoice Present,,,,,,,,,,No Tracking,No Invoice Present,admin 1,"Dec 24,2020 09:24"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 18,2021 02:25"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 12,2021 03:12"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 21,2021 03:21"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 04:44"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 28,2021 02:46"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 08:28"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 05:51"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Feb 04,2021 03:23"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Mar 01,2021 07:37"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 04:18"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,new user,"Nov 19,2020 05:19"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,420112359241990105856901520828,Loaded on AirCraft,admin 1,"Nov 09,2020 05:58"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 07,2021 08:47"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 06,2021 03:25"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 08,2021 05:14"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,1z09x64v0293188967,Loaded on AirCraft,admin 1,"May 29,2020 12:14"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 28,2020 07:00"
,,,,,,,,Recieved in NAS,,,,,,,,,,No Tracking,Recieved in NAS,admin 1,"Jun 29,2020 06:20"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,No Tracking,Loaded on AirCraft,admin 1,"Nov 26,2020 04:17"
,,,,,,,,Recieved in NAS,,,,,,,,,,,Recieved in NAS,admin 1,"Jun 24,2020 08:29"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,100068,Loaded on AirCraft,admin 1,"Nov 26,2020 04:15"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 14,2020 02:50"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 08,2021 00:31"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:15"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:16"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Jan 11,2021 03:27"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Feb 02,2021 01:53"
,,,,,,,,Loaded on AirCraft,,,,,,,,,,420112359241990105856901520828,Loaded on AirCraft,admin 1,"Nov 06,2020 09:34"
,,,,,,,,Received in FLL,,,,,,,,,,as,Received in FLL,new user,"Oct 01,2020 02:58"
,,,,,,,,Received in FLL,,,,,,,,,,No tracking,Received in FLL,admin 1,"Dec 29,2020 04:59"
